ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
039  sound     MultiItem  Labelled     039_hand_2          0        10             111         73             0.13698630137  0.0900900900901
039  sound     MultiItem  Labelled     039_mic_3           0        10             111         73             0.13698630137  0.0900900900901
039  sound     MultiItem  Labelled     039_toy_4           0        31             111         73             0.424657534247 0.279279279279
039  sound     MultiItem  Labelled     039_tambourine_1    1        22             111         73             0.301369863014 0.198198198198
089  sound     OneItem  Labelled       089_hand_2          0        0              122         88             0.0            0.0
089  sound     OneItem  Labelled       089_hand_3          0        0              122         88             0.0            0.0
089  sound     OneItem  Labelled       089_weeble_1        1        88             122         88             1.0            0.72131147541
024  sound     OneItem  NonLabelled    024_car_1           0        36             36          36             1.0            1.0
024  sound     OneItem  NonLabelled    024_hand_2          0        0              36          36             0.0            0.0
038  silent    MultiItem  Labelled     038_mic_1           1        74             122         122            0.606557377049 0.606557377049
038  silent    MultiItem  Labelled     038_hands_2         0        3              122         122            0.02459016393440.0245901639344
038  silent    MultiItem  Labelled     038_toy_3           0        45             122         122            0.368852459016 0.368852459016
022  silent    OneItem  NonLabelled    022_car_1           0        135            135         135            1.0            1.0
061  silent    OneItem  Labelled       061_Tambourine_1    1        91             133         91             1.0            0.684210526316
076  sound     MultiItem  NonLabelled  076_sock_4          0        0              140         104            0.0            0.0
076  sound     MultiItem  NonLabelled  076_donut_1         0        85             140         104            0.817307692308 0.607142857143
076  sound     MultiItem  NonLabelled  076_hands_3         0        0              140         104            0.0            0.0
076  sound     MultiItem  NonLabelled  076_stand_5         0        0              140         104            0.0            0.0
076  sound     MultiItem  NonLabelled  076_donut_2         0        19             140         104            0.182692307692 0.135714285714
056  sound     OneItem  Labelled       056_helicopter_1    1        0              140         0              0              0.0
004  silent    MultiItem  Labelled     004_bear_2          0        23             132         102            0.225490196078 0.174242424242
004  silent    MultiItem  Labelled     004_cup_1           1        21             132         102            0.205882352941 0.159090909091
004  silent    MultiItem  Labelled     004_hand_3          0        30             132         102            0.294117647059 0.227272727273
004  silent    MultiItem  Labelled     004_blocks_4        0        28             132         102            0.274509803922 0.212121212121
004  silent    MultiItem  Labelled     004_foot_5          0        0              132         102            0.0            0.0
066  sound     OneItem  NonLabelled    066_legoman_1       0        0              145         0              0              0.0
075  silent    MultiItem  NonLabelled  075_weeble_1        0        0              137         97             0.0            0.0
075  silent    MultiItem  NonLabelled  075_donut_2         0        6              137         97             0.06185567010310.043795620438
075  silent    MultiItem  NonLabelled  075_stand+donuts_3  0        91             137         97             0.938144329897 0.664233576642
075  silent    MultiItem  NonLabelled  075_foot_4          0        0              137         97             0.0            0.0
058  silent    OneItem  Labelled       058_legoman_1       1        93             142         93             1.0            0.654929577465
058  silent    OneItem  Labelled       058_hand_2          0        0              142         93             0.0            0.0
019  sound     MultiItem  NonLabelled  019_car_1           0        43             43          43             1.0            1.0
019  sound     MultiItem  NonLabelled  019_truck_2         0        0              43          43             0.0            0.0
032  sound     MultiItem  Labelled     032_hand_3          0        0              95          95             0.0            0.0
032  sound     MultiItem  Labelled     032_ball_2          0        95             95          95             1.0            1.0
032  sound     MultiItem  Labelled     032_boomwhacker_1   1        0              95          95             0.0            0.0
005  silent    MultiItem  Labelled     005_car_1           1        25             132         76             0.328947368421 0.189393939394
005  silent    MultiItem  Labelled     005_hippo1_3        0        18             132         76             0.236842105263 0.136363636364
005  silent    MultiItem  Labelled     005_hippos2_4       0        15             132         76             0.197368421053 0.113636363636
005  silent    MultiItem  Labelled     005_hippo3_5        0        18             132         76             0.236842105263 0.136363636364
005  silent    MultiItem  Labelled     005_car_2           1        0              132         76             0.0            0.0
053  sound     OneItem  Labelled       053_boat_1          1        74             122         95             0.778947368421 0.606557377049
053  sound     OneItem  Labelled       053_hand_2          0        21             122         95             0.221052631579 0.172131147541
093  sound     OneItem  NonLabelled    093_sock_3          0        0              137         125            0.0            0.0
093  sound     OneItem  NonLabelled    093_donut_1         0        104            137         125            0.832          0.759124087591
