ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
039  sound     MultiItem  Labelled     039_hand_2          0        0              132         119            0.0            0.0
039  sound     MultiItem  Labelled     039_mic_3           0        50             132         119            0.420168067227 0.378787878788
039  sound     MultiItem  Labelled     039_toy_4           0        45             132         119            0.378151260504 0.340909090909
039  sound     MultiItem  Labelled     039_tambourine_1    1        24             132         119            0.201680672269 0.181818181818
089  sound     OneItem  Labelled       089_hand_2          0        0              139         124            0.0            0.0
089  sound     OneItem  Labelled       089_hand_3          0        10             139         124            0.08064516129030.0719424460432
089  sound     OneItem  Labelled       089_weeble_1        1        114            139         124            0.91935483871  0.820143884892
024  sound     OneItem  NonLabelled    024_car_1           0        41             139         41             1.0            0.294964028777
024  sound     OneItem  NonLabelled    024_hand_2          0        0              139         41             0.0            0.0
038  silent    MultiItem  Labelled     038_mic_1           1        10             131         61             0.16393442623  0.0763358778626
038  silent    MultiItem  Labelled     038_hands_2         0        0              131         61             0.0            0.0
038  silent    MultiItem  Labelled     038_toy_3           0        51             131         61             0.83606557377  0.389312977099
022  silent    OneItem  NonLabelled    022_car_1           0        138            138         138            1.0            1.0
061  silent    OneItem  Labelled       061_Tambourine_1    1        105            139         105            1.0            0.755395683453
076  sound     MultiItem  NonLabelled  076_sock_4          0        0              138         92             0.0            0.0
076  sound     MultiItem  NonLabelled  076_donut_1         0        60             138         92             0.652173913043 0.434782608696
076  sound     MultiItem  NonLabelled  076_hands_3         0        0              138         92             0.0            0.0
076  sound     MultiItem  NonLabelled  076_stand_5         0        0              138         92             0.0            0.0
076  sound     MultiItem  NonLabelled  076_donut_2         0        32             138         92             0.347826086957 0.231884057971
056  sound     OneItem  Labelled       056_helicopter_1    1        0              114         0              0              0.0
004  silent    MultiItem  Labelled     004_bear_2          0        0              113         70             0.0            0.0
004  silent    MultiItem  Labelled     004_cup_1           1        32             113         70             0.457142857143 0.283185840708
004  silent    MultiItem  Labelled     004_hand_3          0        14             113         70             0.2            0.12389380531
004  silent    MultiItem  Labelled     004_blocks_4        0        4              113         70             0.05714285714290.0353982300885
004  silent    MultiItem  Labelled     004_foot_5          0        20             113         70             0.285714285714 0.176991150442
066  sound     OneItem  NonLabelled    066_legoman_1       0        39             132         39             1.0            0.295454545455
075  silent    MultiItem  NonLabelled  075_weeble_1        0        0              123         76             0.0            0.0
075  silent    MultiItem  NonLabelled  075_donut_2         0        14             123         76             0.184210526316 0.113821138211
075  silent    MultiItem  NonLabelled  075_stand+donuts_3  0        32             123         76             0.421052631579 0.260162601626
075  silent    MultiItem  NonLabelled  075_foot_4          0        30             123         76             0.394736842105 0.243902439024
058  silent    OneItem  Labelled       058_legoman_1       1        56             136         56             1.0            0.411764705882
058  silent    OneItem  Labelled       058_hand_2          0        0              136         56             0.0            0.0
019  sound     MultiItem  NonLabelled  019_car_1           0        137            145         137            1.0            0.944827586207
